,quote,category
0,cri smile happen,life
2,selfish impati littl insecur make mistak control time hard handl handl worst sure hell deserv best,love
5,everyon els alreadi taken,inspiration
6,two thing infinit univers human stupid sure univers,humor
10,gotta danc like nobodi watch love like never hurt sing like nobodi listen live like heaven earth,love
13,know love fall asleep realiti final better dream,love
14,room without book like bodi without soul,soul
16,mani book littl time,humor
18,live right enough,life
20,chang wish see world,inspiration
22,three word sum everyth learn life goe,life
26,one make feel inferior without consent,inspiration
28,tell truth rememb anyth,truth
29,friend someon know still love,love
33,live die tomorrow learn live forev,inspiration
36,dark cannot drive dark light hate cannot drive hate love,love
38,live rarest thing world peopl exist,life
39,without music life would mistak,inspiration
41,insan thing expect differ result,life
46,accept love think deserv,love
48,better hate love,love
50,imperfect beauti mad geniu better absolut ridicul absolut bore,inspiration
51,gold glitter wander lost old strong wither deep root reach frost ash fire shall woken light shadow shall spring renew shall blade broken crownless shall king,poetry
52,person gentleman ladi pleasur good novel must intoler stupid,humor
54,two way live life one though noth miracl though everyth miracl,life
56,better remain silent risk thought fool talk remov doubt,wisdom
57,read fell love way fall asleep slowli,love
59,life happen busi make plan,life
60,good friend good book sleepi conscienc ideal life,life
62,whenev find side major time reform paus reflect,wisdom
63,dwell dream forget live,life
64,fool doth think wise wise man know fool,wisdom
66,yesterday histori tomorrow mysteri today gift god call present,inspiration
68,gutter us look star,inspiration
71,fail found way work,inspiration
72,lack love lack friendship make unhappi marriag,friendship
74,opposit love hate indiffer opposit art ugli indiffer opposit faith heresi indiffer opposit life death indiffer,love
77,fairi tale true tell us dragon exist tell us dragon beaten,inspiration
79,outsid dog book man best friend insid dog dark read,humor
81,may gone intend go think end need,life
82,enough artist draw freeli upon imagin imagin import knowledg knowledg limit imagin encircl world,inspiration
83,day without sunshin like know night,humor
85,never put till tomorrow may done day tomorrow well,humor
86,love without know love simpli without problem pride love way know way love intim hand upon chest hand intim fall asleep eye close,love
90,ever love horribl make vulner open chest open heart mean someon get insid mess,love
91,love trust wrong none,love
92,brain head feet shoe steer direct choos know know one decid go,inspiration
94,never time place true love happen accident heartbeat singl flash throb moment,love
95,everi minut angri lose sixti second happi,happiness
96,deepli love someon give strength love someon deepli give courag,love
98,love deadlin love whoosh nois make go,humor
100,never late might,inspiration
101,anyon think sit church make christian must also think sit garag make car,humor
106,women cat pleas men dog relax get use idea,humor
108,love condit happi anoth person essenti,love
110,sometim question complic answer simpl,life
111,alway imagin paradis kind librari,books
113,love real real tell real,love
115,beauti eye behold may necessari time time give stupid misinform behold black eye,humor
116,need love littl chocol hurt,humor
117,everyth imagin real,life
119,greater agoni bear untold stori insid,inspiration
121,today truer true one aliv youer,life
122,sometim read book fill weird evangel zeal becom convinc shatter world never put back togeth unless live human read book,books
123,never trust anyon brought book,books
124,whenev feel need exercis lie goe away,humor
125,afraid death want happen,life
128,noth special sure common man common thought led common life monument dedic name soon forgotten love anoth heart soul alway enough,love
140,folk usual happi make mind,happiness
141,love look eye mind therefor wing cupid paint blind,love
142,read book everyon els read think everyon els think,books
143,love like wind see feel,love
145,sometim peopl beauti look say,life
146,never get cup tea larg enough book long enough suit,inspiration
